state,action,value
"[0.0, 0.0, 0.0, 0.1, 0.2, 0.2, 0.2]",1,0.12073940952501945
"[0.0, 0.0, 0.0, 0.1, 0.2, 0.2, 0.2]",2,-0.04503678094786631
"[0.0, 0.0, 0.0, 0.1, 0.2, 0.2, 0.2]",3,-0.035856662331352374
"[0.0, 0.0, 0.0, 0.1, 0.2, 0.2, 0.2]",4,0.29211460412336043
"[0.0, 0.0, 1.0, 0.1, 0.2, 0.2, 0.2]",0,-0.006749956421202088
"[0.0, 0.0, 1.0, 0.1, 0.2, 0.2, 0.2]",1,-0.009850748749999966
"[0.0, 0.0, 1.0, 0.1, 0.2, 0.2, 0.2]",2,-0.0004860491351022316
"[0.0, 0.0, 1.0, 0.1, 0.2, 0.2, 0.2]",3,-0.005647174463480714
"[0.0, 0.0, 1.0, 0.1, 0.2, 0.2, 0.2]",4,0.1410665412127198
"[0.0, 0.0, 1.0, 1.0, 0.2, 0.2, 0.2]",0,0.5844097272996627
"[0.0, 0.0, 1.0, 1.0, 0.2, 0.2, 0.2]",1,0.2404945703209665
"[0.0, 0.0, 1.0, 1.0, 0.2, 0.2, 0.2]",2,-0.002662299731146401
"[0.0, 0.0, 1.0, 1.0, 0.2, 0.2, 0.2]",3,-0.02329626514717222
"[0.0, 0.0, 1.0, 1.0, 0.2, 0.2, 0.2]",4,0.009166929777994435
"[1.0, 0.0, 1.0, 1.0, 0.2, 0.2, 0.2]",0,-0.04944616100316153
"[1.0, 0.0, 1.0, 1.0, 0.2, 0.2, 0.2]",1,-0.037860265077055956
"[1.0, 0.0, 1.0, 1.0, 0.2, 0.2, 0.2]",2,0.2680059766679087
"[1.0, 0.0, 1.0, 1.0, 0.2, 0.2, 0.2]",3,-0.036919161784105356
"[1.0, 0.0, 1.0, 1.0, 0.2, 0.2, 0.2]",4,-0.04498904635570304
"[1.0, 1.0, 1.0, 1.0, 0.2, 0.2, 0.2]",0,-0.14069925883197987
"[1.0, 1.0, 1.0, 1.0, 0.2, 0.2, 0.2]",1,-0.15241000408315286
"[1.0, 1.0, 1.0, 1.0, 0.2, 0.2, 0.2]",2,-0.15184059247751
"[1.0, 1.0, 1.0, 1.0, 0.2, 0.2, 0.2]",3,-0.14886265767789905
"[1.0, 1.0, 1.0, 1.0, 0.2, 0.2, 0.2]",4,-0.15243287685962878
"[1.0, 1.0, 0.1, 1.0, 0.2, 0.2, 0.2]",0,-0.07821128098520913
"[1.0, 1.0, 0.1, 1.0, 0.2, 0.2, 0.2]",1,-0.07743935071374897
"[1.0, 1.0, 0.1, 1.0, 0.2, 0.2, 0.2]",2,-0.0688181571645445
"[1.0, 1.0, 0.1, 1.0, 0.2, 0.2, 0.2]",3,-0.07768140305647162
"[1.0, 1.0, 0.1, 1.0, 0.2, 0.2, 0.2]",4,-0.08006183003701836
"[0.1, 1.0, 0.1, 1.0, 0.2, 0.2, 0.2]",0,-0.09322389475258855
"[0.1, 1.0, 0.1, 1.0, 0.2, 0.2, 0.2]",1,-0.09467889719815728
"[0.1, 1.0, 0.1, 1.0, 0.2, 0.2, 0.2]",2,-0.09313591948592036
"[0.1, 1.0, 0.1, 1.0, 0.2, 0.2, 0.2]",3,-0.06940442380350852
"[0.1, 1.0, 0.1, 1.0, 0.2, 0.2, 0.2]",4,-0.09612895622208648
"[0.1, 0.1, 0.1, 0.1, 0.2, 0.2, 0.2]",0,-0.4499313612048607
"[0.1, 0.1, 0.1, 0.1, 0.2, 0.2, 0.2]",1,-0.4520451839473356
"[0.1, 0.1, 0.1, 0.1, 0.2, 0.2, 0.2]",2,-0.4517132819486114
"[0.1, 0.1, 0.1, 0.1, 0.2, 0.2, 0.2]",3,-0.4109672216368426
"[0.1, 0.1, 0.1, 0.1, 0.2, 0.2, 0.2]",4,-0.44980536971239604
"[0.1, 0.1, 0.1, 1.0, 0.2, 0.2, 0.2]",0,-0.2224685863564286
"[0.1, 0.1, 0.1, 1.0, 0.2, 0.2, 0.2]",1,-0.20679215424514505
"[0.1, 0.1, 0.1, 1.0, 0.2, 0.2, 0.2]",2,-0.2258294370728917
"[0.1, 0.1, 0.1, 1.0, 0.2, 0.2, 0.2]",3,-0.18937303045490125
"[0.1, 0.1, 0.1, 1.0, 0.2, 0.2, 0.2]",4,-0.21907315425262855
"[1.0, 0.1, 0.1, 1.0, 0.2, 0.2, 0.2]",0,-0.2153434349114512
"[1.0, 0.1, 0.1, 1.0, 0.2, 0.2, 0.2]",1,-0.06194664331554598
"[1.0, 0.1, 0.1, 1.0, 0.2, 0.2, 0.2]",2,-0.2067561560301204
"[1.0, 0.1, 0.1, 1.0, 0.2, 0.2, 0.2]",3,-0.2083974006172737
"[1.0, 0.1, 0.1, 1.0, 0.2, 0.2, 0.2]",4,-0.2139851150053069
"[1.0, 0.1, 1.0, 1.0, 0.2, 0.2, 0.2]",0,-0.24463518688203173
"[1.0, 0.1, 1.0, 1.0, 0.2, 0.2, 0.2]",1,-0.23951206688621626
"[1.0, 0.1, 1.0, 1.0, 0.2, 0.2, 0.2]",2,-0.24348253799384598
"[1.0, 0.1, 1.0, 1.0, 0.2, 0.2, 0.2]",3,-0.24355445445626148
"[1.0, 0.1, 1.0, 1.0, 0.2, 0.2, 0.2]",4,-0.2434502841419505
"[1.0, 0.4, 0.2, 1.0, 1.0, 0.2, 0.3]",0,5.710468503626809
"[1.0, 0.4, 0.2, 1.0, 1.0, 0.2, 0.3]",1,0.3165759785936724
"[1.0, 0.4, 0.2, 1.0, 1.0, 0.2, 0.3]",2,0.1395386410318154
"[1.0, 0.4, 0.2, 1.0, 1.0, 0.2, 0.3]",3,1.3853152328637348
"[1.0, 0.4, 0.2, 1.0, 1.0, 0.2, 0.3]",4,0.6879611913208968
"[1.0, 0.2, 0.1, 0.1, 0.1, 0.1, 0.2]",0,0.038496183037040804
"[1.0, 0.2, 0.1, 0.1, 0.1, 0.1, 0.2]",1,0.4315595017892916
"[1.0, 0.2, 0.1, 0.1, 0.1, 0.1, 0.2]",2,0.11147698342827667
"[1.0, 0.2, 0.1, 0.1, 0.1, 0.1, 0.2]",3,0.1459402631953001
"[1.0, 0.2, 0.1, 0.1, 0.1, 0.1, 0.2]",4,3.5707762959869664
