state,action,value
"[0.2, 0.2, 0.1, 0.1, 0.1, 0.1, 0.3]",2,-0.8430435732122896
"[0.2, 0.2, 0.1, 0.1, 0.1, 0.1, 0.3]",3,-0.6395806518141621
"[0.2, 0.2, 0.1, 0.1, 0.1, 0.1, 0.3]",4,-0.8339798746113793
"[0.2, 0.2, 0.1, 0.1, 0.1, 0.2, 0.3]",0,-1.016975485292733
"[0.2, 0.2, 0.1, 0.1, 0.1, 0.2, 0.3]",1,-1.0203431943523522
"[0.2, 0.2, 0.1, 0.1, 0.1, 0.2, 0.3]",2,-0.8797497016403564
"[0.2, 0.2, 0.1, 0.1, 0.1, 0.2, 0.3]",3,-1.0212967269019055
"[0.2, 0.2, 0.1, 0.1, 0.1, 0.2, 0.3]",4,-1.017626998716018
"[0.2, 0.2, 0.1, 0.1, 0.1, 0.3, 0.3]",0,-0.6050456031742955
"[0.2, 0.2, 0.1, 0.1, 0.1, 0.3, 0.3]",1,-0.6086580093703201
"[0.2, 0.2, 0.1, 0.1, 0.1, 0.3, 0.3]",2,-0.5917872567154093
"[0.2, 0.2, 0.1, 0.1, 0.1, 0.3, 0.3]",3,-0.588111374715517
"[0.2, 0.2, 0.1, 0.1, 0.1, 0.3, 0.3]",4,-0.5921339485838738
"[0.2, 0.2, 0.1, 0.1, 0.2, 0.3, 0.3]",0,-0.8116505439700721
"[0.2, 0.2, 0.1, 0.1, 0.2, 0.3, 0.3]",1,-0.8072386818838544
"[0.2, 0.2, 0.1, 0.1, 0.2, 0.3, 0.3]",2,-0.8456196554405072
"[0.2, 0.2, 0.1, 0.1, 0.2, 0.3, 0.3]",3,-0.8078109492876748
"[0.2, 0.2, 0.1, 0.1, 0.2, 0.3, 0.3]",4,-0.805275834938187
"[0.2, 0.2, 0.2, 0.1, 0.2, 0.3, 0.3]",0,-0.7163116715254781
"[0.2, 0.2, 0.2, 0.1, 0.2, 0.3, 0.3]",1,-0.7129906127787314
"[0.2, 0.2, 0.2, 0.1, 0.2, 0.3, 0.3]",2,-0.7132578623640248
"[0.2, 0.2, 0.2, 0.1, 0.2, 0.3, 0.3]",3,-0.7719190779120827
"[0.2, 0.2, 0.2, 0.1, 0.2, 0.3, 0.3]",4,-0.7565959442655867
"[0.6, 0.9, 0.1, 0.7, 0.8, 0.6, 0.2]",0,10.134251846674145
"[0.6, 0.9, 0.1, 0.7, 0.8, 0.6, 0.2]",1,0.0
"[0.6, 0.9, 0.1, 0.7, 0.8, 0.6, 0.2]",2,1.4839158405933368
"[0.6, 0.9, 0.1, 0.7, 0.8, 0.6, 0.2]",3,1.5827657208020391
"[0.6, 0.9, 0.1, 0.7, 0.8, 0.6, 0.2]",4,0.0
"[0.3, 0.2, 0.1, 0.0, 0.0, 0.0, 0.0]",0,3.3162170710949894
"[0.3, 0.2, 0.1, 0.0, 0.0, 0.0, 0.0]",1,3.23960623107064
"[0.3, 0.2, 0.1, 0.0, 0.0, 0.0, 0.0]",2,3.3010814293346975
"[0.3, 0.2, 0.1, 0.0, 0.0, 0.0, 0.0]",3,3.232364765916154
"[0.3, 0.2, 0.1, 0.0, 0.0, 0.0, 0.0]",4,4.81033236582827
"[0.3, 0.2, 0.1, 0.1, 0.0, 0.0, 0.1]",0,-0.02614229766713013
"[0.3, 0.2, 0.1, 0.1, 0.0, 0.0, 0.1]",1,-0.07852181715141755
"[0.3, 0.2, 0.1, 0.1, 0.0, 0.0, 0.1]",2,0.10397318016067054
"[0.3, 0.2, 0.1, 0.1, 0.0, 0.0, 0.1]",3,-0.054534137781069233
"[0.3, 0.2, 0.1, 0.1, 0.0, 0.0, 0.1]",4,0.6054700849308254
"[0.3, 0.2, 0.1, 0.1, 0.0, 0.1, 0.1]",0,-0.16014419727708257
"[0.3, 0.2, 0.1, 0.1, 0.0, 0.1, 0.1]",1,-0.47389300714404403
"[0.3, 0.2, 0.1, 0.1, 0.0, 0.1, 0.1]",2,-0.4517347034293663
"[0.3, 0.2, 0.1, 0.1, 0.0, 0.1, 0.1]",3,-0.4884334505850111
"[0.3, 0.2, 0.1, 0.1, 0.0, 0.1, 0.1]",4,-0.4684696141640396
"[0.3, 0.2, 0.1, 0.1, 0.0, 0.1, 0.2]",0,-0.0603522311943322
"[0.3, 0.2, 0.1, 0.1, 0.0, 0.1, 0.2]",1,0.03398698606271787
"[0.3, 0.2, 0.1, 0.1, 0.0, 0.1, 0.2]",2,0.19052311568739633
"[0.3, 0.2, 0.1, 0.1, 0.0, 0.1, 0.2]",3,0.0
"[0.3, 0.2, 0.1, 0.1, 0.0, 0.1, 0.2]",4,-0.03182017752908493
"[0.3, 0.2, 0.1, 0.1, 0.1, 0.1, 0.2]",0,-0.8120208790869491
"[0.3, 0.2, 0.1, 0.1, 0.1, 0.1, 0.2]",1,-0.8159945559290209
"[0.3, 0.2, 0.1, 0.1, 0.1, 0.1, 0.2]",2,-0.5139587825820622
"[0.3, 0.2, 0.1, 0.1, 0.1, 0.1, 0.2]",3,-0.7744191922732029
"[0.3, 0.2, 0.1, 0.1, 0.1, 0.1, 0.2]",4,-0.8168324679878223
"[0.3, 0.2, 0.1, 0.1, 0.1, 0.1, 0.3]",0,-0.3469785904500994
"[0.3, 0.2, 0.1, 0.1, 0.1, 0.1, 0.3]",1,-0.3812835212646237
"[0.3, 0.2, 0.1, 0.1, 0.1, 0.1, 0.3]",2,-0.3875151436761743
"[0.3, 0.2, 0.1, 0.1, 0.1, 0.1, 0.3]",3,-0.3818956690237312
"[0.3, 0.2, 0.1, 0.1, 0.1, 0.1, 0.3]",4,-0.37970089699893506
"[0.3, 0.2, 0.1, 0.1, 0.1, 0.2, 0.3]",0,-0.3013060195502193
